date,fund_house,aum_lakh_crore,aum_crore,num_schemes
31-03-2022,SBI Mutual Fund,6.05,605000,186
31-03-2022,ICICI Prudential MF,4.65,465000,216
31-03-2022,HDFC Mutual Fund,4.35,435000,195
31-03-2022,Nippon India MF,2.7,270000,177
31-03-2022,Kotak Mahindra MF,2.7,270000,168
31-03-2022,Aditya Birla Sun Life MF,2.78,278000,199
31-03-2022,Axis Mutual Fund,2.5,250000,95
31-03-2022,UTI Mutual Fund,2.3,230000,142
31-03-2022,Mirae Asset MF,1.05,105000,56
31-03-2022,DSP Mutual Fund,1.1,110000,88
30-09-2022,SBI Mutual Fund,6.3,630000,186
30-09-2022,ICICI Prudential MF,4.88,488000,216
30-09-2022,HDFC Mutual Fund,4.45,445000,195
30-09-2022,Nippon India MF,2.78,278000,177
30-09-2022,Kotak Mahindra MF,2.72,272000,168
30-09-2022,Aditya Birla Sun Life MF,2.85,285000,199
30-09-2022,Axis Mutual Fund,2.4,240000,95
30-09-2022,UTI Mutual Fund,2.32,232000,142
30-09-2022,Mirae Asset MF,1.08,108000,56
30-09-2022,DSP Mutual Fund,1.12,112000,88
31-03-2023,SBI Mutual Fund,7.17,717000,186
31-03-2023,ICICI Prudential MF,5,500000,216
31-03-2023,HDFC Mutual Fund,4.5,450000,195
31-03-2023,Nippon India MF,2.93,293000,177
31-03-2023,Kotak Mahindra MF,2.89,289000,168
31-03-2023,Aditya Birla Sun Life MF,2.75,275000,199
31-03-2023,Axis Mutual Fund,2.41,241000,95
31-03-2023,UTI Mutual Fund,2.39,239000,142
31-03-2023,Mirae Asset MF,1.16,116000,56
31-03-2023,DSP Mutual Fund,1.15,115000,88
30-09-2023,SBI Mutual Fund,8.45,845000,186
30-09-2023,ICICI Prudential MF,5.9,590000,216
30-09-2023,HDFC Mutual Fund,5.35,535000,195
30-09-2023,Nippon India MF,3.4,340000,177
30-09-2023,Kotak Mahindra MF,3.25,325000,168
30-09-2023,Aditya Birla Sun Life MF,3.08,308000,199
30-09-2023,Axis Mutual Fund,2.6,260000,95
30-09-2023,UTI Mutual Fund,2.65,265000,142
30-09-2023,Mirae Asset MF,1.42,142000,56
30-09-2023,DSP Mutual Fund,1.32,132000,88
31-03-2024,SBI Mutual Fund,10,1000000,186
31-03-2024,ICICI Prudential MF,6.8,680000,216
31-03-2024,HDFC Mutual Fund,6.45,645000,195
31-03-2024,Nippon India MF,4.3,430000,177
31-03-2024,Kotak Mahindra MF,3.8,380000,168
31-03-2024,Aditya Birla Sun Life MF,3.4,340000,199
31-03-2024,Axis Mutual Fund,2.8,280000,95
31-03-2024,UTI Mutual Fund,2.9,290000,142
31-03-2024,Mirae Asset MF,1.75,175000,56
